Strategy 1,Strategy 2,winner,# cards played,wars
3,3,2,133,9
3,3,2,142,12
3,3,1,164,6
3,3,1,63,3
3,3,2,620,54
3,3,1,159,13
3,3,1,268,20
3,3,2,114,10
3,3,1,50,2
3,3,1,95,9
3,3,2,137,17
3,3,1,85,5
3,3,1,429,29
3,3,2,281,23
3,3,1,433,31
3,3,2,362,28
3,3,1,305,29
3,3,2,92,6
3,3,1,242,14
3,3,1,124,12
3,3,2,125,10
3,3,1,270,22
3,3,2,75,7
3,3,2,120,8
3,3,2,107,5
3,3,2,680,34
3,3,1,331,29
3,3,1,53,3
3,3,1,529,49
3,3,2,108,6
3,3,2,336,22
3,3,1,111,7
3,3,1,216,16
3,3,1,38,4
3,3,2,413,29
3,3,1,127,9
3,3,1,682,56
3,3,1,345,29
3,3,2,237,17
3,3,2,237,17
3,3,1,723,53
3,3,2,84,8
3,3,2,181,13
3,3,2,117,5
3,3,1,59,1
3,3,1,268,20
3,3,1,91,9
3,3,2,466,38
3,3,1,215,20
3,3,2,50,4
3,3,1,335,29
3,3,1,283,19
3,3,1,643,51
3,3,1,171,19
3,3,1,258,30
3,3,1,246,16
3,3,2,88,10
3,3,2,183,13
3,3,1,153,9
3,3,1,233,15
3,3,1,126,6
3,3,2,236,30
3,3,1,90,4
3,3,1,168,13
3,3,1,329,26
3,3,1,122,8
3,3,1,110,6
3,3,1,210,10
3,3,1,114,6
3,3,1,25,5
3,3,2,226,17
3,3,2,122,8
3,3,2,66,4
3,3,2,163,7
3,3,1,169,11
3,3,2,606,42
3,3,1,82,4
3,3,2,69,7
3,3,2,75,5
3,3,1,119,9
3,3,1,112,6
3,3,1,59,5
0 c,0,2,2600,13
0 c,0,1,2600,3
0 c,0,1,2600,14
0 c,0,1,2600,22
0 c,0,1,2600,7
0 c,0,1,2600,4
0 c,0,1,2600,6
0 c,0,1,2600,4
0 c,0,2,2600,24
0 c,0,1,2600,29
0 c,0,1,2600,3
0 c,0,1,2600,8
0 c,0,1,2600,12
0 c,0,1,2600,30
0 c,0,1,2600,6
0 c,0,1,2600,17
0 c,0,1,2600,7
0 c,0,1,2600,6
0 c,0,2,59,3
0 c,0,2,2600,18
0 c,0,1,2600,11
0 c,0,1,2600,7
0 c,0,1,2600,3
0 c,0,2,2600,6
0 c,0,1,2600,7
0 c,0,2,2600,14
0 c,0,1,2600,5
0 c,0,1,2600,43
0 c,0,2,2600,18
0 c,0,1,2600,6
0 c,0,2,2600,12
0 c,0,2,64,6
0 c,0,1,2600,3
0 c,0,2,2600,15
0 c,0,2,2600,9
0 c,0,2,2600,7
0 c,0,1,2600,5
0 c,0,1,2600,22
0 c,0,1,2600,11
0 c,0,1,2600,3
0 c,0,2,2600,6
0 c,0,1,2600,8
0 c,0,1,2600,9
0 c,0,1,2600,6
0 c,0,2,2600,6
0 c,0,1,2600,21
0 c,0,1,2600,8
0 c,0,1,2600,10
0 c,0,2,2600,20
0 c,0,1,2600,2
0 c,0,2,282,10
0 c,0,1,2600,8
0 c,0,1,2600,7
0 c,0,1,2600,17
0 c,0,1,2600,44
0 c,0,1,2600,32
0 c,0,1,2600,39
0 c,0,2,2600,36
0 c,0,1,2600,2
0 c,0,1,2600,3
0 c,0,1,2600,24
0 c,0,1,2600,3
0 c,0,1,2600,6
0 c,0,2,2600,9
0 c,0,1,2600,8
0 c,0,1,2600,28
0 c,0,2,2600,6
0 c,0,1,2600,2
0 c,0,1,2600,5
0 c,0,2,2600,16
0 c,0,2,2600,17
0 c,0,2,2368,26
0 c,0,2,2600,28
0 c,0,1,2600,6
0 c,0,1,2600,14
0 c,0,1,2600,3
0 c,0,1,2600,9
0 c,0,1,2600,11
0 c,0,1,2600,12
0 c,0,2,2600,22
0 c,0,1,2600,108
0 c,0,1,2600,7
0 c,0,2,2600,15
0 c,0,1,2600,24
0 c,0,1,2600,4
0 c,0,2,2600,16
0 c,0,1,2600,7
0 c,0,1,2600,4
0 c,0,1,2600,12
0 c,0,1,2600,4
0 c,0,1,2600,19
0 c,0,1,2600,21
0 c,0,1,2600,8
0 c,0,1,2600,3
0 c,0,2,2600,22
0 c,0,1,2600,22
0 c,0,1,2600,20
0 c,0,1,2600,18
0 c,0,2,2600,9
0 c,0,1,2600,1
0 c,1,2,83,5
0 c,1,1,2600,5
0 c,1,1,2600,6
0 c,1,1,2600,7
0 c,1,1,2600,15
0 c,1,2,322,11
0 c,1,1,2600,13
0 c,1,2,2600,28
0 c,1,1,2600,44
0 c,1,1,2600,41
0 c,1,2,2600,17
0 c,1,2,2600,6
0 c,1,1,2600,45
0 c,1,2,2600,27
0 c,1,2,2600,11
0 c,1,2,2600,15
0 c,1,1,2600,3
0 c,1,1,2600,4
0 c,1,1,2600,58
